sdg_labels,term,tfidf_score
SDG4_education,patent,0.11967068323278304
SDG4_education,committee,0.1147861655498123
SDG4_education,hour,0.1147861655498123
SDG4_education,charity,0.10501713018387084
SDG4_education,pension,0.10226176149928261
SDG4_education,chemical,0.09769035365941474
SDG4_education,charity foundation,0.08547905945198789
SDG4_education,rural,0.08393084178220088
SDG4_education,safety health,0.0830368006105025
SDG4_education,teacher,0.0785600497527729
SDG4_education,new employee,0.07197771639223538
SDG4_education,turnover,0.07197771639223538
SDG4_education,camp,0.07082550640307568
SDG4_education,elementary,0.06838324756159031
SDG4_education,donation,0.06594566140030068
SDG4_education,vocational,0.06594098872010494
SDG4_education,health check,0.06350974975785474
SDG4_education,buddy,0.06330489997574638
SDG4_education,culture foundation,0.0610564710371342
SDG4_education,education culture,0.0610564710371342
SDG4_education,online,0.0610564710371342
SDG4_education,turnover rate,0.05927576644066443
SDG4_education,fab fab,0.058614212195648836
SDG4_education,scholarship,0.05695307120935059
SDG4_education,hospital,0.05695307120935059
SDG4_education,elementary school,0.05404993412172258
SDG4_education,independent director,0.05356568459486232
SDG6_water,chemical,0.21755616430081948
SDG6_water,indicator,0.11075586546223536
SDG6_water,acid,0.10504936419879454
SDG6_water,hazardous,0.10284473221493284
SDG6_water,recycle,0.09493359896763032
SDG6_water,day,0.09493359896763032
SDG6_water,quadrant,0.09464381411205175
SDG6_water,pfass,0.08754113683232878
SDG6_water,concentration,0.08754113683232878
SDG6_water,carbon reduction,0.08702246572032779
SDG6_water,wastewater treatment,0.08109803987302673
SDG6_water,safety health,0.07911133247302526
SDG6_water,hazardous substance,0.0787870231490959
SDG6_water,emergency,0.07120019922572274
SDG6_water,ammonia,0.0702849678899565
SDG6_water,organic,0.07003290946586303
SDG6_water,nitrogen,0.06796864255524852
SDG6_water,water pollution,0.06565585262424659
SDG6_water,esh,0.06328906597842021
SDG6_water,water quality,0.06127879578263016
SDG6_water,layer,0.056901738941013705
SDG6_water,jasm,0.05537793273111768
SDG6_water,equivalent,0.05537793273111768
SDG6_water,inch,0.05537793273111768
SDG6_water,contain,0.05537793273111768
SDG6_water,tap water,0.054860042875351754
SDG6_water,water day,0.054860042875351754
SDG6_water,wastewater recycling,0.054860042875351754
SDG6_water,tap,0.054530813642549573
SDG6_water,zeolite,0.054530813642549573
SDG7_energy,carbon reduction,0.19053296806805237
SDG7_energy,electricity,0.17318625467797627
SDG7_energy,charity,0.10887598175317278
SDG7_energy,committee,0.1020712328935995
SDG7_energy,solar,0.0884617351744529
SDG7_energy,equivalent,0.0884617351744529
SDG7_energy,solution,0.08505936074466623
SDG7_energy,co2,0.0835187447607053
SDG7_energy,hour,0.0816569863148796
SDG7_energy,conserve,0.07934280752267005
SDG7_energy,sdg,0.0748522374553063
SDG7_energy,care,0.068047488595733
SDG7_energy,charity foundation,0.06464511416594634
SDG7_energy,green energy,0.0640036158592521
SDG7_energy,industry association,0.0612427397361597
SDG7_energy,senior,0.0612427397361597
SDG7_energy,climate risk,0.06045550493760229
SDG7_energy,risk opportunity,0.06045550493760229
SDG7_energy,food,0.05898472483690627
SDG7_energy,hpc,0.05898472483690627
SDG7_energy,instal,0.05846312133249372
SDG7_energy,rural,0.05846312133249372
SDG7_energy,semi,0.05784036530637304
SDG7_energy,deliver,0.05784036530637304
SDG7_energy,chemical,0.05784036530637304
SDG7_energy,net emission,0.05647377869934009
SDG7_energy,lead industry,0.05580508148086366
SDG7_energy,climate change,0.05443799087658639
SDG7_energy,donation,0.05428718409445844
SDG7_energy,gwh metric,0.05427181888378606
SDG8_labor,permanent,0.17411993364798867
SDG8_labor,permanent employee,0.11607995576532577
SDG8_labor,intern,0.1159281930653418
SDG8_labor,recruitment,0.10344480775858231
SDG8_labor,esh,0.09314829984141523
SDG8_labor,payment,0.0857448515723397
SDG8_labor,workforce,0.08374748715967355
SDG8_labor,committee,0.08150476236123833
SDG8_labor,protective,0.08150476236123833
SDG8_labor,new employee,0.07064971948246948
SDG8_labor,salary,0.06442114396897966
SDG8_labor,grievance,0.06442114396897966
SDG8_labor,sdg,0.06403945614097298
SDG8_labor,time employee,0.0624228731890302
SDG8_labor,employee disability,0.06055690241354527
SDG8_labor,garden meeting,0.06055690241354527
SDG8_labor,garden,0.06055690241354527
SDG8_labor,silicon garden,0.06055690241354527
SDG8_labor,protective equipment,0.05821768740088453
SDG8_labor,online,0.05821768740088453
SDG8_labor,social cost,0.05821768740088453
SDG8_labor,temporary,0.05803997788266289
SDG8_labor,cost carbon,0.05797902957208168
SDG8_labor,derive,0.05797902957208168
SDG8_labor,fab visera,0.053505319876311595
SDG8_labor,management position,0.053505319876311595
SDG8_labor,supplier code,0.05239591866079608
