issue_frame,term,tfidf_score
labor_talent,compensation,0.07296776628578427
other,art,0.20870208036664567
other,pollutant,0.20067621944606018
other,chinese,0.18148006988403972
other,gas,0.1723948124933926
other,education,0.1567225568121751
other,literature,0.15050716458454516
other,cultural,0.1376575310584209
other,acid,0.1376575310584209
other,participant,0.1361100524130298
other,classic,0.12542263715378763
other,emission,0.12537804544974007
other,air,0.12537804544974007
other,youth,0.11647944935712541
other,dividend,0.11647944935712541
other,volatile organic,0.11288037343840884
other,injury,0.10888804193042383
other,sponsor,0.10589040850647764
other,facility,0.10186966192791382
other,hold,0.10186966192791382
other,air pollutant,0.10033810972303009
other,pollutant emission,0.10033810972303009
other,volatile,0.09530136765582987
other,organic,0.09530136765582987
other,lecture,0.09403353408730507
other,culture foundation,0.09074003494201986
other,financial,0.09074003494201986
other,reduction rate,0.08779584600765133
other,organic gas,0.08779584600765133
other,invest,0.0861974062466963
other,student,0.0861974062466963
supply_chain,material,0.38183977944789826
supply_chain,risk,0.2923460811397971
supply_chain,chain,0.2684810949243035
supply_chain,supply chain,0.23864986215493642
supply_chain,raw,0.21417083009971374
supply_chain,raw material,0.18653588428039583
supply_chain,audit,0.14915616384683528
supply_chain,tcia,0.12899601388656068
supply_chain,substance,0.12899601388656068
supply_chain,critical,0.11335868452359481
supply_chain,waste,0.10480926128283055
supply_chain,material supplier,0.10480926128283055
supply_chain,participate,0.09545994486197457
supply_chain,environmental,0.08949369830810117
supply_chain,hazardous,0.08868475954701048
supply_chain,mineral,0.08868475954701048
supply_chain,high risk,0.08868475954701048
supply_chain,tier,0.08868475954701048
supply_chain,supplier supplier,0.08062250867910044
supply_chain,tier supplier,0.08062250867910044
supply_chain,source,0.07756120520035434
supply_chain,compliance,0.07756120520035434
supply_chain,procurement,0.07599610100312423
supply_chain,vendor,0.07599610100312423
supply_chain,code,0.07599610100312423
supply_chain,risk supplier,0.0725602578111904
supply_chain,production line,0.0725602578111904
supply_chain,quality reliability,0.07159495864648094
supply_chain,supplier participate,0.06908736454829476
supply_chain,site,0.06908736454829476
