sdg_labels,term,tfidf_score
SDG4_education,project,0.093395581239516
SDG4_education,cultivate,0.08490507385410545
SDG4_education,vocational high,0.08341012320675723
SDG4_education,collaboration,0.08336725235211137
SDG4_education,feedback,0.08236766506263435
SDG4_education,skill,0.08142527239673895
SDG4_education,academia,0.07924473559716508
SDG4_education,chinese,0.07900284100441698
SDG4_education,industry academia,0.07641998132276875
SDG4_education,capability,0.0764145664686949
SDG4_education,instructor,0.07335978093267291
SDG4_education,science,0.07075422821175453
SDG4_education,knowledge,0.06947271029342614
SDG4_education,scientific,0.06869068969968241
SDG4_education,trainee,0.06771672086092885
SDG4_education,teacher,0.06576149919537516
SDG6_water,water,0.7748762687782457
SDG6_water,water consumption,0.1605501852199895
SDG6_water,reclaim,0.14908231484713313
SDG6_water,wastewater,0.14326181239041322
SDG6_water,consumption,0.1347610902223036
SDG6_water,waste,0.11230090851858633
SDG6_water,reclaim water,0.10321083335570755
SDG6_water,recycling,0.0972133726934947
SDG6_water,plant,0.08609736319758285
SDG6_water,treatment,0.07674739949486423
SDG6_water,reclamation,0.07138585280231921
SDG6_water,water plant,0.07138585280231921
SDG6_water,recycle,0.062133634282879005
SDG6_water,increase,0.059893817876579374
SDG6_water,wafer,0.059893817876579374
SDG6_water,park,0.05840660683826118
SDG6_water,water recycling,0.05840660683826118
SDG6_water,layer,0.05628142629623376
SDG6_water,pollution,0.056150454259293166
SDG6_water,water quality,0.05224711797312957
SDG6_water,ecological,0.05224711797312957
SDG6_water,unit water,0.051916983856232155
SDG6_water,water reclamation,0.051916983856232155
SDG6_water,mask layer,0.051605416677853774
SDG6_water,wafer mask,0.051605416677853774
SDG6_water,inch,0.051605416677853774
SDG6_water,discharge,0.04866372702472074
SDG6_water,mask,0.045944536227637084
SDG6_water,vendor,0.045944536227637084
SDG6_water,water pollution,0.04587148149142558
SDG7_energy,renewable,0.3859065904238592
SDG7_energy,renewable energy,0.34950030830840084
SDG7_energy,save,0.18307364121836037
SDG7_energy,gwh,0.17951856850637177
SDG7_energy,electricity,0.16999695255990602
SDG7_energy,energy efficiency,0.16018764130801702
SDG7_energy,efficiency,0.14383338298756998
SDG7_energy,carbon,0.13317905832182406
SDG7_energy,consumption,0.11719757132320516
SDG7_energy,solar,0.11082420615972485
SDG7_energy,energy save,0.10921884634637524
SDG7_energy,increase,0.10654324665745925
SDG7_energy,energy consumption,0.10607915411740151
SDG7_energy,ghg,0.08842206902577528
SDG7_energy,school,0.08252726442405693
SDG7_energy,lab,0.08159934932107808
SDG7_energy,underprivileged,0.08009382065400851
SDG7_energy,purchase,0.07846013195072586
SDG7_energy,ghg emission,0.07281256423091684
SDG7_energy,light,0.07192178762149871
SDG7_energy,tool,0.07073765522062023
SDG7_energy,green energy,0.06553130780782515
SDG7_energy,increase energy,0.06553130780782515
SDG7_energy,food,0.06538344329227155
SDG7_energy,equivalent,0.06538344329227155
SDG7_energy,metric,0.06484285061890188
SDG7_energy,startup,0.06464745359317282
SDG7_energy,energy renewable,0.0637308140081024
SDG7_energy,zone,0.0637308140081024
SDG7_energy,food project,0.0637308140081024
SDG8_labor,right,0.374936380780294
SDG8_labor,human right,0.24564797361467539
SDG8_labor,harassment,0.220535907521364
SDG8_labor,vocational,0.1613535379639466
SDG8_labor,leave,0.1187021367005752
SDG8_labor,meeting,0.11635956644905675
SDG8_labor,discrimination,0.11551880870166686
SDG8_labor,conduct,0.11060557733761914
SDG8_labor,issue,0.11060557733761914
SDG8_labor,labor,0.10989514609077583
SDG8_labor,vocational high,0.10957120310822326
SDG8_labor,channel,0.10078506092566994
SDG8_labor,employment,0.09907866277195412
SDG8_labor,worker,0.0935861280024078
SDG8_labor,officer,0.09130933592351938
SDG8_labor,health,0.08953784832092977
SDG8_labor,school,0.0874223495046654
SDG8_labor,return,0.0840374646576521
SDG8_labor,compensation,0.0840374646576521
SDG8_labor,high school,0.0840374646576521
SDG8_labor,procedure,0.08159419287102106
SDG8_labor,policy,0.0790039838125851
SDG8_labor,offer,0.07373705155841274
SDG8_labor,labor management,0.07351196917378801
SDG8_labor,irregular,0.07351196917378801
SDG8_labor,sc,0.07351196917378801
SDG8_labor,recruitment,0.0730474687388155
SDG8_labor,investigation,0.07260909208377597
SDG8_labor,violation,0.07198932923262139
SDG8_labor,opportunity,0.06993787960373232
SDG9_innovation,trade_secret,0.43875327075820214
SDG9_innovation,registration,0.3875726978063947
SDG9_innovation,patent,0.28603616888904365
SDG9_innovation,trade,0.22472728502249378
SDG9_innovation,trade_secret registration,0.22287841595651584
SDG9_innovation,register,0.12111646806449836
SDG9_innovation,collaboration,0.11147075818134612
SDG9_innovation,award,0.10479414164636822
SDG9_innovation,project,0.09082158942685245
SDG9_innovation,protection,0.09082158942685245
